id,bank_account
2,UA 1784 7249 98R4 2516 E166 79V8 WGK
4,CY 6583 5700 57L2 L2TM SQTX 1Z28 17
6,NO 6379 0873 7576 0
8,IT 50Q7 2642 6890 2387 DJ2O P1TL X
10,CZ 3210 7096 1444 8505 8395 87
12,FI 3048 4109 0176 3419
14,SE 2688 3330 7930 3832 7031 59
16,CY 3064 8271 11H3 218W O2ES 4D2X M7
18,DE 5882 4456 5680 9953 4465
20,UA 5156 5010 8P1P Y8I3 U4PU 2A85 2HJ
22,FR 9809 8949 9010 F6KJ HBIP 85S7 3
24,IT 53N9 3464 2253 98MF 27AB 85YH 7
26,AE 9470 6683 0827 5060 6738 1
28,CY 0319 9072 7018 N6J5 QQIW 2KSE Y7
30,NL 50NM YS37 5421 5387
32,CH 2300 553K BA17 79Q5 8LO
34,NL 77ZY VR59 8051 1936
36,BE 1674 0045 0961 41
38,IT 37W2 0314 6281 122R P6UG 23D1 6
40,FR 9036 4628 9231 R2Z8 7ND1 U4W4 2
